,Learning rates,Number of leaf nodes,Number of trees,MSE
373,0.01,96.0,69.0,43854.65931241664
374,0.01,96.0,75.0,43417.536755944115
375,0.01,96.0,80.0,45219.1400058607
376,0.01,96.0,85.0,44529.80128885864
377,0.01,96.0,90.0,44758.95653066563
378,0.01,96.0,96.0,44483.356227356315
379,0.01,96.0,101.0,45905.14357367009
380,0.01,101.0,1.0,77687.91928439871
381,0.01,101.0,6.0,54107.131803561046
382,0.01,101.0,12.0,44254.11857079335
383,0.01,101.0,17.0,38030.80036184997
384,0.01,101.0,22.0,50588.91507815115
385,0.01,101.0,27.0,48261.35922415425
386,0.01,101.0,33.0,39961.52767808334
387,0.01,101.0,38.0,44861.365424273645
388,0.01,101.0,43.0,44469.53264391671
389,0.01,101.0,48.0,46328.91592387092
390,0.01,101.0,54.0,44586.24363389186
391,0.01,101.0,59.0,44719.58371914536
392,0.01,101.0,64.0,43304.547268483344
393,0.01,101.0,69.0,45726.386029877125
394,0.01,101.0,75.0,49851.50531792469
395,0.01,101.0,80.0,45190.74792442565
396,0.01,101.0,85.0,41376.83383095685
397,0.01,101.0,90.0,44629.27354067955
398,0.01,101.0,96.0,42288.80303099649
399,0.01,101.0,101.0,44088.51661825317
400,0.06736842105263158,2.0,1.0,1087451.2029428042
401,0.06736842105263158,2.0,6.0,1073905.0719481464
402,0.06736842105263158,2.0,12.0,1069504.6575635015
403,0.06736842105263158,2.0,17.0,1092031.32412837
404,0.06736842105263158,2.0,22.0,1077839.2048704491
405,0.06736842105263158,2.0,27.0,1090786.1219940477
406,0.06736842105263158,2.0,33.0,1350107.6910328509
407,0.06736842105263158,2.0,38.0,1314401.635301902
408,0.06736842105263158,2.0,43.0,1291686.5604111566
409,0.06736842105263158,2.0,48.0,1337309.3238125248
410,0.06736842105263158,2.0,54.0,1345042.5322611753
411,0.06736842105263158,2.0,59.0,1392734.67107657
412,0.06736842105263158,2.0,64.0,1404063.7244477982
413,0.06736842105263158,2.0,69.0,1371603.768879541
414,0.06736842105263158,2.0,75.0,1393745.596698669
415,0.06736842105263158,2.0,80.0,1385781.3010057618
416,0.06736842105263158,2.0,85.0,1448623.7152088154
417,0.06736842105263158,2.0,90.0,1433481.762728489
418,0.06736842105263158,2.0,96.0,1470081.443662796
419,0.06736842105263158,2.0,101.0,1422102.071897497
420,0.06736842105263158,7.0,1.0,525429.4071184021
421,0.06736842105263158,7.0,6.0,373325.5949843017
422,0.06736842105263158,7.0,12.0,310041.5822810253
423,0.06736842105263158,7.0,17.0,318849.08913016686
424,0.06736842105263158,7.0,22.0,314907.812410951
425,0.06736842105263158,7.0,27.0,290688.10333117674
426,0.06736842105263158,7.0,33.0,327830.7097393347
427,0.06736842105263158,7.0,38.0,296343.32804372965
428,0.06736842105263158,7.0,43.0,301223.1626915512
429,0.06736842105263158,7.0,48.0,292255.26275070297
430,0.06736842105263158,7.0,54.0,324143.20413690043
431,0.06736842105263158,7.0,59.0,316975.8229924559
432,0.06736842105263158,7.0,64.0,312489.9407725018
433,0.06736842105263158,7.0,69.0,295189.04277011467
434,0.06736842105263158,7.0,75.0,340872.69332116086
435,0.06736842105263158,7.0,80.0,341078.81337809627
436,0.06736842105263158,7.0,85.0,334182.8625411347
437,0.06736842105263158,7.0,90.0,337259.8294950744
438,0.06736842105263158,7.0,96.0,318065.3285772284
439,0.06736842105263158,7.0,101.0,333508.9541596405
440,0.06736842105263158,12.0,1.0,330003.39210934733
441,0.06736842105263158,12.0,6.0,204959.64060857525
442,0.06736842105263158,12.0,12.0,181816.9910260143
443,0.06736842105263158,12.0,17.0,212048.3244172473
444,0.06736842105263158,12.0,22.0,195446.36441090665
445,0.06736842105263158,12.0,27.0,179779.3734994208
446,0.06736842105263158,12.0,33.0,198623.9105417142
447,0.06736842105263158,12.0,38.0,191661.2444652282
448,0.06736842105263158,12.0,43.0,184824.29189077477
449,0.06736842105263158,12.0,48.0,180971.11380252315
450,0.06736842105263158,12.0,54.0,181827.5454817877
451,0.06736842105263158,12.0,59.0,193039.44748452568
452,0.06736842105263158,12.0,64.0,181203.07144033868
453,0.06736842105263158,12.0,69.0,182730.16221596085
454,0.06736842105263158,12.0,75.0,195978.22608673223
455,0.06736842105263158,12.0,80.0,190100.97533475398
